city,company,title,state,description
Atlanta,Home Depot,Sr IT Security Analyst - I.T. Security & Compliance,GA,"technologies 25%-Drive application and , compliance with corporate and ... Position reports to Manager, , , This position has no Direct..."
Roseland,CONTECH Systems,"CyberSecurity/, Security/Forensic",NJ,"to protect critical infrastructure and , Assist deploying security ... Three or more years of experience in , , (IT) industry. Two or..."
Yonkers,Montfiore Medical Center,"EPIC - , SECURITY ANALYST (558)",NY,"Degree or equivalent experience. The Epic , Security Analyst will join this ... to the organization?s mission of utilizing , , to improve patient..."
Pleasanton,Kaiser Permanente,"Director Talent Acquisition- , ,(327612)",CA,"role of its kind in Kaiser Permanente the , , Service Line Director ... to create an enterprise wide , , workforce acquisition strategy."
Boston,Federal Reserve Bank of Minneapolis,"Senior , , / , , Specialist",MA,"Senior , , / , , Specialist – Large Bank Supervision ... of , , risk and the effectiveness of the enterprise , risk..."
Boston,Federal Reserve Banks,"Senior , , / , , Specialist",MA,"Senior , , / , , Specialist – Large Bank Supervision ... of , , risk and the effectiveness of the enterprise , risk..."
Scottsdale,General Dynamics," , Intern: Active Directory Process and Support (PAID)",AZ,"to receiving a competitive wage, the , , Intern will enhance their ... program (Engineering/Computer Science/, ,) with a preference for a..."
Barnesville,Georgia Department of Labor," , SUPPORT SPECIALIST",GA,Knowledge of application development and management principles. Knowledge of computers and job related software programs; Skilled in the provision of customer services; Skilled in...
Norcross,Jaipur Rugs,"Manager of , ",GA,"accomplish even bigger goals. The Manager of , , will oversee the ... practices, and user projects Recommend , , strategies, policies,..."
Fort Belvoir,DRS Technologies,"Circuit Actions Manager - Engineer IT , ",VA,"Circuit Actions Manager – Engineer III , , Position Summary: ... , systems and/or , , tasks within more than one..."
Patuxent River,Naval Air Systems Command,"Supervisory , , Management (Enterprise Architecture)",MD," Identifies training needs of , , branch.  Identifies and ... lead, administer, and support , , (IT) systems and services."
Albuquerque,Bernalillo County," , Manager - I.T. Ap...",NM," sections within the , , Department, such as applications ... the , , Department or the , , Unit of other County..."
San Francisco,UCSF Medical Center,"Director of IT Solution Engineering - , ",CA,"align IT enterprise solutions with Health , Exchanges servicing physician ... Qualifications * Bachelor’s degree in , Systems Business Administration,..."
Atlanta,Comcast,"Director 2, , ",GA,"goals, and objectives of the , , department. Develops andimplements ... Bachelors Degree or Equivalent- , Sciences, ,- Generally..."
Chicago,United Airlines,"Manager - , , - Chicago, IL (, ,)",IL,"Manager - , , Chicago, IL Equal Opportunity Employer – Minorities/Women/Veterans/Disabled/LGBT Travel subject to service charges/restrictions. Bonuses awarded..."
Tukwila,Group Health Cooperative,"Supv , ",WA,"progressively responsible experience in , ,. Preferred Experience 2 years experience in a supervisory or lead role. Avaya CMS Supervisor Aspect EWFM..."
